"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 22:21:45 GMT+03:00 2026","Fri Sep 04 22:21:48 GMT+03:00 2026","3667","","tests.ProfileTest","","tests.ProfileTest","navigateToProfileTest","Переход в личный кабинет","Проверка перехода в личный кабинет"
"passed","Fri Sep 04 22:21:18 GMT+03:00 2026","Fri Sep 04 22:21:23 GMT+03:00 2026","5524","","tests.LoginTest","","tests.LoginTest","loginViaMainPageTest","Вход через кнопку 'Войти в аккаунт' на главной странице","Проверка входа через главную страницу"
"passed","Fri Sep 04 22:21:37 GMT+03:00 2026","Fri Sep 04 22:21:41 GMT+03:00 2026","3635","","tests.ProfileTest","","tests.ProfileTest","navigateFromProfileToConstructorTest","Переход из личного кабинета в конструктор по кнопке 'Конструктор'","Проверка перехода из личного кабинета в конструктор"
"passed","Fri Sep 04 22:21:11 GMT+03:00 2026","Fri Sep 04 22:21:14 GMT+03:00 2026","2631","","tests.ConstructorTest","","tests.ConstructorTest","switchToFillingsTest","Переход к разделу 'Начинки'","Проверка, что раздел 'Начинки' отображается"
"passed","Fri Sep 04 22:21:26 GMT+03:00 2026","Fri Sep 04 22:21:30 GMT+03:00 2026","3165","","tests.LoginTest","","tests.LoginTest","loginViaForgotPasswordFormTest","Вход через кнопку в форме восстановления пароля","Проверка входа через форму восстановления пароля"
"passed","Fri Sep 04 22:21:48 GMT+03:00 2026","Fri Sep 04 22:21:50 GMT+03:00 2026","2182","","tests.RegistrationTest","","tests.RegistrationTest","registrationWithShortPasswordTest","Ошибка при пароле меньше 6 символов","Проверка ошибки при пароле меньше 6 символов"
"passed","Fri Sep 04 22:21:50 GMT+03:00 2026","Fri Sep 04 22:21:54 GMT+03:00 2026","3259","","tests.RegistrationTest","","tests.RegistrationTest","successfulRegistrationTest","Успешная регистрация","Проверка регистрации с корректными данными"
"passed","Fri Sep 04 22:21:41 GMT+03:00 2026","Fri Sep 04 22:21:45 GMT+03:00 2026","3717","","tests.ProfileTest","","tests.ProfileTest","navigateFromProfileToMainViaLogoTest","Переход из личного кабинета на главную по логотипу","Проверка перехода из личного кабинета на главную через логотип"
"passed","Fri Sep 04 22:21:14 GMT+03:00 2026","Fri Sep 04 22:21:16 GMT+03:00 2026","1572","","tests.ConstructorTest","","tests.ConstructorTest","switchToSaucesTest","Переход к разделу 'Соусы'","Проверка, что раздел 'Соусы' отображается"
"passed","Fri Sep 04 22:21:16 GMT+03:00 2026","Fri Sep 04 22:21:18 GMT+03:00 2026","2190","","tests.ConstructorTest","","tests.ConstructorTest","switchToBunsTest","Переход к разделу 'Булки'","Проверка, что раздел 'Булки' отображается"
"passed","Fri Sep 04 22:21:30 GMT+03:00 2026","Fri Sep 04 22:21:33 GMT+03:00 2026","3184","","tests.LoginTest","","tests.LoginTest","loginViaRegisterFormTest","Вход через кнопку в форме регистрации","Проверка входа через форму регистрации"
"passed","Fri Sep 04 22:21:33 GMT+03:00 2026","Fri Sep 04 22:21:37 GMT+03:00 2026","4345","","tests.LogoutTest","","tests.LogoutTest","logoutTest","Выход из аккаунта по кнопке 'Выход'","Проверка выхода из аккаунта"
"passed","Fri Sep 04 22:21:23 GMT+03:00 2026","Fri Sep 04 22:21:26 GMT+03:00 2026","3062","","tests.LoginTest","","tests.LoginTest","loginViaProfileButtonTest","Вход через кнопку 'Личный кабинет'","Проверка входа через личный кабинет"
